group,variable,value
Japan,Togo,0.357
Japan,Mongolia,2.302
Japan,Namibia,0.217
Japan,Gabon,0.175
Japan,Cape Verde,0.451
Japan,Timor-Leste,0.385
Japan,South Sudan,0.297
Japan,Solomon Islands,0.393
Japan,Kazakhstan,1.283
Japan,Armenia,0.346
Japan,Paraguay,2.387
Japan,Panama,0.999
Japan,Azerbaijan,1.264
Japan,Kosovo,0.016
Japan,Kyrgyz Republic,0.632
Japan,Lesotho,0.137
Japan,Mauritius,0.296
Japan,Cuba,0.070
Japan,Central African Republic,0.455
Japan,"Macedonia, FYR",0.266
Japan,Guinea-Bissau,0.180
Japan,Guyana,0.158
Japan,Tajikistan,0.315
Japan,Eritrea,0.152
Japan,Croatia,0.023
Japan,Moldova,0.198
Japan,Djibouti,0.375
Japan,Bhutan,0.549
Japan,Swaziland,0.163
Japan,Uruguay,0.198
Japan,Gambia,0.214
Japan,Samoa,0.379
Japan,Belize,0.026
Japan,Turkmenistan,0.061
Japan,Comoros,0.088
Japan,Libya,0.018
Japan,Belarus,0.006
Japan,Maldives,0.378
Germany,Indonesia,9.835
Germany,India,18.018
Germany,Egypt,13.423
Germany,China,16.469
Germany,Iraq,8.043
Germany,Pakistan,6.638
Germany,Philippines,2.003
Germany,Bangladesh,5.404
Germany,Israel,4.822
Germany,Afghanistan,4.473
Germany,Viet Nam,2.954
Germany,Russia,27.533
Germany,Tanzania,3.694
Germany,Thailand,1.702
Germany,Mozambique,2.745
Germany,Turkey,11.162
Germany,Nigeria,5.915
Germany,Kenya,3.502
Germany,Brazil,4.063
Germany,Morocco,5.423
Germany,"Congo, Democratic Republic of",4.039
Germany,Mexico,1.512
Germany,Ethiopia,2.263
Germany,Sri Lanka,2.250
Germany,Sudan,2.442
Germany,Peru,4.033
Germany,Papua New Guinea,0.386
Germany,Zambia,3.501
Germany,Ghana,2.579
Germany,Jordan,3.386
Germany,Colombia,1.239
Germany,Poland,17.231
Germany,Tunisia,3.846
Germany,Cameroon,5.225
Germany,Cote d`Ivoire,1.564
Germany,Uganda,1.394
Germany,Bolivia,2.958
Germany,Malaysia,0.137
Germany,Senegal,1.712
Germany,Palestinian Adm. Areas,1.552
Germany,Nicaragua,3.187
Germany,South Africa,1.784
Germany,Algeria,1.718
Germany,Myanmar,1.524
Germany,Mali,2.028
Germany,Serbia,3.628
Germany,Argentina,0.788
Germany,Haiti,0.521
Germany,Zimbabwe,1.152
Germany,Nepal,1.373
Germany,Burkina Faso,1.638
Germany,Honduras,0.919
Germany,El Salvador,0.808
Germany,Malawi,1.549
Germany,Madagascar,1.013
Germany,Yemen,1.972
Germany,Cambodia,0.703
Germany,Somalia,0.826
Germany,Venezuela,0.228
Germany,Guatemala,0.629
Germany,Angola,0.265
Germany,Rwanda,1.083
Germany,Syria,3.100
Germany,Niger,1.420
Germany,Bosnia-Herzegovina,1.225
Germany,Lebanon,0.494
Germany,"Congo, Republic of",0.552
Germany,Ukraine,1.713
Germany,Ecuador,0.879
Germany,Jamaica,0.365
Germany,Benin,1.125
Germany,Dominican Republic,0.374
Germany,Liberia,1.179
Germany,Guinea,0.741
Germany,Chile,1.365
Germany,Laos,0.581
Germany,Costa Rica,0.529
Germany,Uzbekistan,0.636
Germany,Iran,4.344
Germany,Georgia,1.281
Germany,Sierra Leone,0.728
Germany,Chad,0.652
Germany,Burundi,0.757
Germany,Mauritania,0.795
Germany,Albania,1.049
Germany,Botswana,0.878
Germany,Togo,1.334
Germany,Mongolia,0.587
Germany,Namibia,0.958
Germany,Gabon,0.270
Germany,Cape Verde,0.245
