country,purpose,latitude,longitude,amount,radius,color
Belgium,general budget support,50.503887,4.469936,0.243,2,2
Paraguay,general budget support,-23.442503,-58.443832,0.214,2,2
New Caledonia,general budget support,-20.904305,165.618042,0.211,2,2
Norway,general budget support,60.472024,8.468946,0.203,2,2
Bhutan,general budget support,27.514162,90.433601,0.181,2,2
Estonia,general budget support,58.595272,25.013607,0.177,2,2
Tokelau,general budget support,-8.967363,-171.855881,0.156,2,2
Equatorial Guinea,general budget support,1.650801,10.267895,0.148,2,2
Barbados,general budget support,13.193887,-59.543198,0.141,2,2
Timor-Leste,general budget support,-8.874217,125.727539,0.136,2,2
Palau,general budget support,7.51498,134.58252,0.132,2,2
Niue,general budget support,-19.054445,-169.867233,0.131,2,2
Seychelles,general budget support,-4.679574,55.491977,0.130,2,2
Grenada,general budget support,12.262776,-61.604171,0.116,2,2
Eritrea,general budget support,15.179384,39.782334,0.116,2,2
French Polynesia,general budget support,-17.679742,-149.406843,0.108,2,2
Aruba,general budget support,12.52111,-69.968338,0.102,2,2
Nauru,general budget support,-0.522778,166.931503,0.100,2,2
Malta,general budget support,35.937496,14.375416,0.093,1,2
Belize,general budget support,17.189877,-88.49765,0.091,1,2
Turks and Caicos Islands,general budget support,21.694025,-71.797928,0.087,1,2
Oman,general budget support,21.512583,55.923255,0.086,1,2
Samoa,general budget support,-13.759029,-172.104629,0.083,1,2
Italy,general budget support,41.87194,12.56738,0.081,1,2
Cook Islands,general budget support,-21.236736,-159.777671,0.076,1,2
Kosovo,general budget support,42.602636,20.902977,0.074,1,2
Libya,general budget support,26.3351,17.228331,0.068,1,2
Tuvalu,general budget support,-7.109535,177.64933,0.067,1,2
Netherlands Antilles,general budget support,12.226079,-69.060087,0.062,1,2
Kiribati,general budget support,-3.370417,-168.734039,0.058,1,2
Montserrat,general budget support,16.742498,-62.187366,0.052,1,2
Tonga,general budget support,-21.178986,-175.198242,0.052,1,2
Montenegro,general budget support,42.708678,19.37439,0.037,1,2
Uzbekistan,general budget support,41.377491,64.585262,0.030,1,2
Anguilla,general budget support,18.220554,-63.068615,0.028,1,2
Mayotte,general budget support,-12.8275,45.166244,0.027,1,2
Swaziland,general budget support,-26.522503,31.465866,0.026,1,2
Maldives,general budget support,3.202778,73.22068,0.023,1,2
Namibia,general budget support,-22.95764,18.49041,0.020,1,2
Cyprus,general budget support,35.126413,33.429859,0.016,1,2
Cuba,general budget support,21.521757,-77.781167,0.012,1,2
Fiji,general budget support,-16.578193,179.414413,0.011,1,2
Botswana,general budget support,-22.328474,24.684866,0.008,1,2
Malaysia,general budget support,4.210484,101.975766,0.006,1,2
Iran,general budget support,32.427908,53.688046,0.001,1,2
Syria,general budget support,34.802075,38.996815,0.001,0.5,2
Bahamas,general budget support,25.03428,-77.39628,0.000,0.5,2
Turkmenistan,general budget support,38.969719,59.556278,0.000,0.5,2
Slovenia,general budget support,46.151241,14.995463,0.000,0.5,2
