country,purpose,latitude,longitude,amount,radius,color
Spain,road transport,40.463667,-3.74922,0.245,2,2
Belarus,road transport,53.709807,27.953389,0.236,2,2
Barbados,road transport,13.193887,-59.543198,0.223,2,2
Bahrain,road transport,25.930414,50.637772,0.210,2,2
Lithuania,road transport,55.169438,23.881275,0.209,2,2
Taiwan,road transport,23.69781,120.960515,0.203,2,2
Bhutan,road transport,27.514162,90.433601,0.194,2,2
Dominica,road transport,15.414999,-61.370976,0.178,2,2
Eritrea,road transport,15.179384,39.782334,0.177,2,2
Suriname,road transport,3.919305,-56.027783,0.175,2,2
Turkmenistan,road transport,38.969719,59.556278,0.171,2,2
Grenada,road transport,12.262776,-61.604171,0.154,2,2
Angola,road transport,-11.202692,17.873887,0.140,2,2
Greece,road transport,39.074208,21.824312,0.113,2,2
Bahamas,road transport,25.03428,-77.39628,0.109,2,2
Estonia,road transport,58.595272,25.013607,0.108,2,2
Slovenia,road transport,46.151241,14.995463,0.089,1,2
Latvia,road transport,56.879635,24.603189,0.082,1,2
Netherlands Antilles,road transport,12.226079,-69.060087,0.079,1,2
Mayotte,road transport,-12.8275,45.166244,0.072,1,2
Vanuatu,road transport,-15.376706,166.959158,0.068,1,2
Kiribati,road transport,-3.370417,-168.734039,0.068,1,2
Samoa,road transport,-13.759029,-172.104629,0.063,1,2
Palau,road transport,7.51498,134.58252,0.060,1,2
Kosovo,road transport,42.602636,20.902977,0.057,1,2
New Caledonia,road transport,-20.904305,165.618042,0.048,1,2
Montenegro,road transport,42.708678,19.37439,0.044,1,2
Tonga,road transport,-21.178986,-175.198242,0.037,1,2
Montserrat,road transport,16.742498,-62.187366,0.036,1,2
Equatorial Guinea,road transport,1.650801,10.267895,0.031,1,2
South Africa,road transport,-30.559482,22.937506,0.027,1,2
Iceland,road transport,64.963051,-19.020835,0.026,1,2
Cayman Islands,road transport,19.513469,-80.566956,0.019,1,2
Saudi Arabia,road transport,23.885942,45.079162,0.017,1,2
Marshall Islands,road transport,7.131474,171.184478,0.015,1,2
Martinique,road transport,14.641528,-61.024174,0.015,1,2
Seychelles,road transport,-4.679574,55.491977,0.010,1,2
Anguilla,road transport,18.220554,-63.068615,0.009,1,2
Turks and Caicos Islands,road transport,21.694025,-71.797928,0.008,1,2
Singapore,road transport,1.352083,103.819836,0.006,1,2
French Polynesia,road transport,-17.679742,-149.406843,0.005,1,2
Maldives,road transport,3.202778,73.22068,0.003,1,2
Cook Islands,road transport,-21.236736,-159.777671,0.002,1,2
Aruba,road transport,12.52111,-69.968338,0.002,1,2
Niue,road transport,-19.054445,-169.867233,0.001,0.5,2
Cuba,road transport,21.521757,-77.781167,0.001,0.5,2
Kuwait,road transport,29.31166,47.481766,0.001,0.5,2
Tuvalu,road transport,-7.109535,177.64933,0.000,0.5,2
Tokelau,road transport,-8.967363,-171.855881,0.000,0.5,2
