purpose,year,amount,rank
General Budget Support,1951,0.5677,3
General Budget Support,1953,0.0811,3
General Budget Support,1955,0.2028,3
General Budget Support,1970,0.0391,3
General Budget Support,1972,0.0164,3
General Budget Support,1973,1.8974,3
General Budget Support,1974,1.7333,3
General Budget Support,1975,0.7374,3
General Budget Support,1976,1.5934,3
General Budget Support,1977,1.8940,3
General Budget Support,1978,1.3632,3
General Budget Support,1979,2.2463,3
General Budget Support,1980,5.9085,3
General Budget Support,1981,17.0958,3
General Budget Support,1982,5.8743,3
General Budget Support,1983,39.5650,3
General Budget Support,1984,14.6712,3
General Budget Support,1985,16.5329,3
General Budget Support,1986,17.0060,3
General Budget Support,1987,13.6955,3
General Budget Support,1988,15.3948,3
General Budget Support,1989,24.8073,3
General Budget Support,1990,11.4298,3
General Budget Support,1991,23.6624,3
General Budget Support,1992,18.5829,3
General Budget Support,1993,10.6110,3
General Budget Support,1994,13.9346,3
General Budget Support,1995,25.3891,3
General Budget Support,1996,23.6918,3
General Budget Support,1997,55.9092,3
General Budget Support,1998,52.2296,3
General Budget Support,1999,42.1866,3
General Budget Support,2000,23.5236,3
General Budget Support,2001,88.6199,3
General Budget Support,2002,98.4753,3
General Budget Support,2003,38.0368,3
General Budget Support,2004,11.6551,3
General Budget Support,2005,14.0981,3
General Budget Support,2006,8.8586,3
General Budget Support,2007,8.1257,3
General Budget Support,2008,30.8242,3
General Budget Support,2009,63.7385,3
General Budget Support,2010,66.4726,3
General Budget Support,2011,24.8614,3
General Budget Support,2012,4.9413,3
General Budget Support,2013,10.3726,3
