country,color,latitude,longitude,donated,received,radius
Pakistan,2,30.375321,69.345116,,176.14,4
Palau,2,7.51498,134.58252,,0.59,0.5
Panama,2,8.537981,-80.782127,,19.31,1
Papua New Guinea,2,-6.314993,143.95555,,35.86,2
Paraguay,2,-23.442503,-58.443832,,12.84,1
Peru,2,-9.189967,-75.015152,,85.47,3
Philippines,2,12.879721,121.774017,,133.3,4
Poland,2,51.919438,19.145136,0.14,91.97,3
Portugal,2,39.399872,-8.224454,10.82,20.32,1
Qatar,2,25.354826,51.183884,0.1,1.08,0.5
Romania,2,45.943161,24.96676,0.01,47.05,2
Russia,2,61.52401,105.318756,,126.38,4
Rwanda,2,-1.940278,29.873888,,22.45,1
Saudi Arabia,1,23.885942,45.079162,26.82,5.18,1
Senegal,2,14.497401,-14.452362,,37.19,2
Serbia,2,44.016521,21.005859,,27.64,1
Seychelles,2,-4.679574,55.491977,,1.59,0.5
Sierra Leone,2,8.460555,-11.779889,,13.15,1
Singapore,2,1.352083,103.819836,,4.16,0.5
Slovenia,2,46.151241,14.995463,0.04,2.99,0.5
Solomon Islands,2,-9.64571,160.156194,,5.97,0.5
Somalia,2,5.152149,46.199616,,18.6,1
South Africa,2,-30.559482,22.937506,0.24,37.06,2
Sspain,1,40.463667,-3.74922,53.06,3.52,2
Sri Lanka,2,7.873054,80.771797,,54.38,3
Sudan,2,12.862807,30.217636,,49.65,2
Swaziland,2,-26.522503,31.465866,,4.24,0.5
Sweden,1,60.128161,18.643501,90.99,0.06,2
Switzerland,1,46.818188,8.227512,51.81,0,2
Syria,2,34.802075,38.996815,,23.9,1
Taiwan,2,23.69781,120.960515,1.95,6.37,0.5
Tajikistan,2,38.861034,71.276093,,6.52,0.5
Tanzania,2,-6.369028,34.888822,,83.6,3
Thailand,2,15.870032,100.992541,0.03,94.84,3
Timor-leste,2,-8.874217,125.727539,,5.23,0.5
Togo,2,8.619543,0.824782,,10.84,1
Tokelau,2,-8.967363,-171.855881,,0.23,0.5
Tonga,2,-21.178986,-175.198242,,1.56,0.5
Tunisia,2,33.886917,9.537499,,61.94,3
Turkey,2,38.963745,35.243322,,222.63,5
Turkmenistan,2,38.969719,59.556278,,2.2,0.5
Turks and Caicos Islands,2,21.694025,-71.797928,,0.35,0.5
Tuvalu,2,-7.109535,177.64933,,0.5,0.5
Uganda,2,1.373333,32.290275,,43.89,2
Ukraine,2,48.379433,31.16558,,49.78,2
United Arab Emirates,1,23.424076,53.847818,23.87,0.43,1
United Kingdom,1,55.378051,-3.435973,158.78,0.99,3
United States,1,37.09024,-95.712891,858.05,1.09,6
Uruguay,2,-32.522779,-55.765835,,27.62,1
Uzbekistan,2,41.377491,64.585262,,15.79,1
Vanuatu,2,-15.376706,166.959158,,2.54,0.5
Venezuela,2,6.42375,-66.58973,,50.23,3
yemen,2,15.552727,48.516388,,28.91,1
Zambia,2,-13.133897,27.849332,,48.19,2
Zimbabwe,2,-19.015438,29.154857,,26.48,1
